product_id,avg_sentiment_score,verdict
B016GKBEQE,0.7090238350028166,Useful
B01MWSBJLJ,0.6967710132758461,Not Useful
B049LTYKDG,0.7133709842496101,Useful
B04H44Z32S,0.7209197613868893,Useful
B06EGYDTDV,0.7009792640923975,Not Useful
B06QRPY925,0.7086162455167856,Useful
B07R4C6KQY,0.6955837227306071,Not Useful
B0880Z4XTI,0.7031906522314021,Useful
B090MOJZ6M,0.7017982652789886,Not Useful
B09676EMJA,0.7120009542393003,Useful
B09BFRV59N,0.7163341169990364,Useful
B0BLZN9NDG,0.7213768880972284,Useful
B0BZ9XNBRB,0.7110622584208163,Useful
B0C22BRGLG,0.7220879986193639,Useful
B0C2S6TKTL,0.7178649153413912,Useful
B0CAPXKSAU,0.7058921476470204,Useful
B0CGVXZSQJ,0.7140463278466413,Useful
B0CHH1N9VY,0.7138409718725376,Useful
B0CMDMKQB7,0.7052583761372057,Useful
B0CN1Q2X3B,0.7020428971513051,Not Useful
B0CN1QSH8Q,0.7106211261941571,Useful
B0CP6DDN1H,0.7073406381978421,Useful
B0CRFB8HW4,0.717520937015452,Useful
B0CSB14R7J,0.7163422095432536,Useful
B0CSB22F9C,0.7045115867562377,Useful
B0CTW8TXGH,0.7012726328889086,Not Useful
B0CV73SG4Z,0.7132136215274629,Useful
B0CVR23QCR,0.7063972002006137,Useful
B0D18SMB1X,0.708457623315722,Useful
B0D1ZFS9GH,0.712927227944504,Useful
B0D5PFR7DK,0.7200792854363982,Useful
B0D64375G1,0.7026255823981543,Not Useful
B0D9927L49,0.696569162331888,Not Useful
B0DCLPFZDF,0.7246897659693047,Useful
B0DEJX7WV7,0.7078152080928494,Useful
B0DSSA3IOW,0.7118425635632135,Useful
B0GU8UZ5ZR,0.7152457653036102,Useful
B0I7XBX8OP,0.7117812161631045,Useful
B0IJ6IYPEZ,0.723457402777627,Useful
B0IXG1JU1M,0.7100517189111231,Useful
B0KANG3H7E,0.7069743743623805,Useful
B0MHFGMODR,0.7051918076288306,Useful
B0NPBBCU8N,0.7094791813848446,Useful
B0NSTAF5Y7,0.7155518711352963,Useful
B0RLSL2UDK,0.7077675069113888,Useful
B0RQFR04QF,0.6982921701319393,Not Useful
B0SUCZYILN,0.7133244672943964,Useful
B0WHH0849T,0.7034688453470659,Useful
B0XKN3YQ49,0.7112410165312001,Useful
B0YLPU73GQ,0.7198267799086135,Useful
